year,quartile,percentage
2012,1,19.44119922
2012,2,22.1628164
2012,3,32.76752911
2012,4,43.15108819
2013,1,21.59452564
2013,2,24.84886472
2013,3,32.97354713
2013,4,48.18399075
2014,1,21.90411592
2014,2,25.87590369
2014,3,42.2277341
2014,4,52.26406965
2015,1,20.71011033
2015,2,25.39131346
2015,3,43.13915148
2015,4,52.06473871
2016,1,24.23182368
2016,2,28.60585084
2016,3,38.45356267
2016,4,55.00892406
2017,1,22.52106851
2017,2,27.47321132
2017,3,41.34696631
2017,4,55.476515
2018,1,20.88748383
2018,2,28.48030157
2018,3,37.06102712
2018,4,56.16809278
2019,1,19.36631319
2019,2,28.38968201
2019,3,41.83247882
2019,4,54.70642482
2020,1,20.97385591
2020,2,24.01284747
2020,3,39.34603474
2020,4,50.0608098
2021,1,22.32421581
2021,2,32.09150047
2021,3,44.57879243
2021,4,59.01429305
2022,1,26.12905412
2022,2,30.20355795
2022,3,42.09424909
2022,4,58.1179062
2023,1,25.90477448
2023,2,32.47812528
2023,3,38.42595668
2023,4,57.5982538
2024,1,23.09610884
2024,2,33.71378245
2024,3,41.91208607
2024,4,50.65876342
