anio,cod_comuna,comuna,tamanio_promedio
1991,2007,Comuna 1,2.7658686677416346
2001,2007,Comuna 1,2.3906562529764743
2010,2007,Comuna 1,2.3135092579438368
2022,2007,Comuna 1,2.059614680449539
1991,2014,Comuna 2,2.5108051999415952
2001,2014,Comuna 2,2.277388884203424
2010,2014,Comuna 2,2.1069632019246542
2022,2014,Comuna 2,1.9071321195924504
1991,2021,Comuna 3,2.6928842926086913
2001,2021,Comuna 3,2.4136378360868154
2010,2021,Comuna 3,2.27093764365317
2022,2021,Comuna 3,2.0745718761817296
1991,2028,Comuna 4,3.247798085772157
2001,2028,Comuna 4,2.956911867898894
2010,2028,Comuna 4,2.7778758746975347
2022,2028,Comuna 4,2.4634702695589237
1991,2035,Comuna 5,2.718343449831078
2001,2035,Comuna 5,2.487005408482778
2010,2035,Comuna 5,2.2892408193009395
2022,2035,Comuna 5,2.05387949532229
1991,2042,Comuna 6,2.7352814212302174
2001,2042,Comuna 6,2.5172718508997427
2010,2042,Comuna 6,2.309845855111785
2022,2042,Comuna 6,2.10391351713735
1991,2049,Comuna 7,3.0412291201889006
2001,2049,Comuna 7,2.8976224608476917
2010,2049,Comuna 7,2.6461470490777215
2022,2049,Comuna 7,2.323436297680554
1991,2056,Comuna 8,3.4041514202467678
2001,2056,Comuna 8,3.3255325315171715
2010,2056,Comuna 8,3.1202322864407943
2022,2056,Comuna 8,2.8397383251677946
1991,2063,Comuna 9,3.063616168642959
2001,2063,Comuna 9,2.9642519533133984
2010,2063,Comuna 9,2.8008407823701216
2022,2063,Comuna 9,2.4886297245067635
1991,2070,Comuna 10,2.9781773609723086
2001,2070,Comuna 10,2.848606763745237
2010,2070,Comuna 10,2.6544757782370265
2022,2070,Comuna 10,2.309400519171489
1991,2077,Comuna 11,2.963850939653945
2001,2077,Comuna 11,2.8242852742288003
2010,2077,Comuna 11,2.6063671984326895
2022,2077,Comuna 11,2.2819986349675805
1991,2084,Comuna 12,2.9830087329200303
2001,2084,Comuna 12,2.7997549124381935
2010,2084,Comuna 12,2.516003157345284
2022,2084,Comuna 12,2.166683628625619
1991,2091,Comuna 13,2.7723729497089167
2001,2091,Comuna 13,2.486522954695107
2010,2091,Comuna 13,2.273899070702247
2022,2091,Comuna 13,2.0535362029534507
1991,2098,Comuna 14,2.6920514911042077
2001,2098,Comuna 14,2.3782133061172415
2010,2098,Comuna 14,2.161745272935735
2022,2098,Comuna 14,1.9279512733592727
1991,2105,Comuna 15,2.900834275179017
2001,2105,Comuna 15,2.7010831954265084
2010,2105,Comuna 15,2.4752570206306492
2022,2105,Comuna 15,2.1396761356746805
