year,age_group,amount,total,percentage
1991,Menores de 20,166483,779053,21.36991963319569
1991,20 a 29,111511,430064,25.928931507868597
1991,30 a 49,171103,775368,22.06732803004509
1991,50 a 69,90210,654156,13.790288555023572
1991,70+,35358,326455,10.830895529245993
2001,Menores de 20,153453,644448,23.811541039773573
2001,20 a 29,143922,462751,31.101391461066534
2001,30 a 49,173118,717094,24.141604866307624
2001,50 a 69,81684,566486,14.41942078003693
2001,70+,33106,334315,9.902636734815967
2010,Menores de 20,191733,633490,30.266144690523923
2010,20 a 29,194629,466284,41.7404414477014
2010,30 a 49,266667,800761,33.30169676095614
2010,50 a 69,106468,601035,17.71410982721472
2010,70+,35669,328131,10.870353608772106
2022,Menores de 20,235479,642537,36.64831752879601
2022,20 a 29,213230,444427,47.97863316135158
2022,30 a 49,417895,946130,44.16887742699206
2022,50 a 69,155809,673519,23.133571584469035
2022,70+,54698,388841,14.066932242227542
