source,year_source,year,sex,life_expectancy
IDECBA,1990-1992,1991,Mujeres,76.5
IDECBA,2000-2001,2000.5,Mujeres,79.4
IDECBA,2008-2010,2009,Mujeres,80.43
INDEC PAD,2019,2019,Mujeres,82.41
INDEC Proyecciones,2025,2025,Mujeres,83.1076327107519
INDEC Proyecciones,2030,2030,Mujeres,83.67348568434655
INDEC Proyecciones,2035,2035,Mujeres,84.22317474154329
INDEC Proyecciones,2040,2040,Mujeres,84.75630673821688
IDECBA,1990-1992,1991,Varones,69.2
IDECBA,2000-2001,2000.5,Varones,71.8
IDECBA,2008-2010,2009,Varones,74.11
INDEC PAD,2019,2019,Varones,76.96
INDEC Proyecciones,2025,2025,Varones,78.06527705118394
INDEC Proyecciones,2030,2030,Varones,78.95468726465222
INDEC Proyecciones,2035,2035,Varones,79.80920813207193
INDEC Proyecciones,2040,2040,Varones,80.62669829194755
