census,year,people,rooms,amount,percentage
Censo 1991,1991,1,1,48497,0.0482
Censo 1991,1991,1,2,92603,0.09210000000000002
Censo 1991,1991,1,3,52488,0.052199999999999996
Censo 1991,1991,1,4,19587,0.0195
Censo 1991,1991,1,5 o más,8845,0.0088
Censo 1991,1991,2,1,28968,0.0288
Censo 1991,1991,2,2,100528,0.1
Censo 1991,1991,2,3,98067,0.0975
Censo 1991,1991,2,4,43095,0.0429
Censo 1991,1991,2,5 o más,21972,0.0218
Censo 1991,1991,3,1,13896,0.0138
Censo 1991,1991,3,2,46309,0.0461
Censo 1991,1991,3,3,71734,0.0713
Censo 1991,1991,3,4,37913,0.0377
Censo 1991,1991,3,5 o más,22329,0.0222
Censo 1991,1991,4,1,7702,0.0077
Censo 1991,1991,4,2,27096,0.0269
Censo 1991,1991,4,3,58403,0.0581
Censo 1991,1991,4,4,41032,0.0408
Censo 1991,1991,4,5 o más,28358,0.0282
Censo 1991,1991,5 o más,1,5846,0.0058
Censo 1991,1991,5 o más,2,16250,0.016200000000000003
Censo 1991,1991,5 o más,3,37700,0.0375
Censo 1991,1991,5 o más,4,36305,0.0361
Censo 1991,1991,5 o más,5 o más,40067,0.0398
Censo 2001,2001,1,1,51727,0.050499999999999996
Censo 2001,2001,1,2,101760,0.09939999999999999
Censo 2001,2001,1,3,69324,0.0677
Censo 2001,2001,1,4,26307,0.025699999999999997
Censo 2001,2001,1,5 o más,14763,0.0144
Censo 2001,2001,2,1,27947,0.0273
Censo 2001,2001,2,2,86312,0.0843
Censo 2001,2001,2,3,101776,0.09939999999999999
Censo 2001,2001,2,4,49697,0.048499999999999995
Censo 2001,2001,2,5 o más,30265,0.029500000000000002
Censo 2001,2001,3,1,13928,0.013600000000000001
Censo 2001,2001,3,2,35372,0.0345
Censo 2001,2001,3,3,69237,0.0676
Censo 2001,2001,3,4,42158,0.0412
Censo 2001,2001,3,5 o más,29775,0.0291
Censo 2001,2001,4,1,7859,0.0077
Censo 2001,2001,4,2,18865,0.0184
Censo 2001,2001,4,3,48173,0.047
Censo 2001,2001,4,4,42908,0.04190000000000001
Censo 2001,2001,4,5 o más,37388,0.0365
Censo 2001,2001,5 o más,1,5661,0.0055000000000000005
Censo 2001,2001,5 o más,2,11798,0.0115
Censo 2001,2001,5 o más,3,27757,0.0271
Censo 2001,2001,5 o más,4,30886,0.0302
Censo 2001,2001,5 o más,5 o más,42588,0.0416
Censo 2010,2010,1,1,75296,0.0653
Censo 2010,2010,1,2,130283,0.113
Censo 2010,2010,1,3,89606,0.07769999999999999
Censo 2010,2010,1,4,33890,0.0294
Censo 2010,2010,1,5 o más,17440,0.0151
Censo 2010,2010,2,1,40146,0.0348
Censo 2010,2010,2,2,102428,0.0889
Censo 2010,2010,2,3,117868,0.1023
Censo 2010,2010,2,4,58273,0.0506
Censo 2010,2010,2,5 o más,31444,0.0273
Censo 2010,2010,3,1,18512,0.0161
Censo 2010,2010,3,2,38352,0.0333
Censo 2010,2010,3,3,73242,0.0635
Censo 2010,2010,3,4,44570,0.0387
Censo 2010,2010,3,5 o más,28559,0.0248
Censo 2010,2010,4,1,9696,0.0084
Censo 2010,2010,4,2,21306,0.018500000000000003
Censo 2010,2010,4,3,46459,0.0403
Censo 2010,2010,4,4,42871,0.037200000000000004
Censo 2010,2010,4,5 o más,33315,0.028900000000000002
Censo 2010,2010,5 o más,1,6029,0.0052
Censo 2010,2010,5 o más,2,12903,0.011200000000000002
Censo 2010,2010,5 o más,3,23613,0.020499999999999997
Censo 2010,2010,5 o más,4,25440,0.022099999999999998
Censo 2010,2010,5 o más,5 o más,31093,0.027000000000000003
Censo 2022,2022,1,1,124203,0.0883
Censo 2022,2022,1,2,208191,0.14800000000000002
Censo 2022,2022,1,3,135057,0.096
Censo 2022,2022,1,4,52535,0.0373
Censo 2022,2022,1,5 o más,30151,0.021400000000000002
Censo 2022,2022,2,1,42892,0.0305
Censo 2022,2022,2,2,117961,0.0839
Censo 2022,2022,2,3,130308,0.0926
Censo 2022,2022,2,4,63847,0.0454
Censo 2022,2022,2,5 o más,40338,0.0287
Censo 2022,2022,3,1,16250,0.0116
Censo 2022,2022,3,2,47177,0.0335
Censo 2022,2022,3,3,83203,0.0591
Censo 2022,2022,3,4,45079,0.032
Censo 2022,2022,3,5 o más,28114,0.02
Censo 2022,2022,4,1,7906,0.005600000000000001
Censo 2022,2022,4,2,24726,0.0176
Censo 2022,2022,4,3,53739,0.0382
Censo 2022,2022,4,4,41678,0.0296
Censo 2022,2022,4,5 o más,27934,0.0199
Censo 2022,2022,5 o más,1,4685,0.0033
Censo 2022,2022,5 o más,2,13538,0.0096
Censo 2022,2022,5 o más,3,23861,0.017
Censo 2022,2022,5 o más,4,20769,0.0148
Censo 2022,2022,5 o más,5 o más,22593,0.0161
