year,rate,source
1982,1.89,IDECBA
1983,1.91,IDECBA
1984,1.88,IDECBA
1985,2.08,IDECBA
1986,2.14,IDECBA
1987,2.08,IDECBA
1988,2.07,IDECBA
1989,2.04,IDECBA
1990,2.08,IDECBA
1991,1.86,IDECBA
1992,1.74,IDECBA
1993,1.73,IDECBA
1994,1.77,IDECBA
1995,1.81,IDECBA
1996,1.77,IDECBA
1997,1.76,IDECBA
1998,1.74,IDECBA
1999,1.8,IDECBA
2000,1.87,IDECBA
2001,1.8,IDECBA
2002,1.73,IDECBA
2003,1.8,IDECBA
2004,1.8,IDECBA
2005,1.86,IDECBA
2006,1.86,IDECBA
2007,1.82,IDECBA
2008,1.94,IDECBA
2009,1.87,IDECBA
2010,1.91,IDECBA
2011,1.91,IDECBA
2012,1.85,IDECBA
2013,1.84,IDECBA
2014,1.85,IDECBA
2015,1.78,IDECBA
2016,1.7,IDECBA
2017,1.54,IDECBA
2018,1.53,IDECBA
2019,1.48,IDECBA
2020,1.2,IDECBA
2021,1.14,IDECBA
2022,1.09,IDECBA
2023,1.09,IDECBA
2024,0.99,IDECBA
2025,0.97,INDEC
2030,0.98,INDEC
2035,1.26,INDEC
2040,1.34,INDEC
