year,quintile,total_avg_children
2012,1,1.26807729659441
2012,2,0.546520667854072
2012,3,0.420821180719819
2012,4,0.268804371980478
2012,5,0.143758685052254
2013,1,1.22273644333199
2013,2,0.465332320577112
2013,3,0.41188875184021
2013,4,0.256184406304951
2013,5,0.116643671396933
2014,1,1.32235424299991
2014,2,0.510319428379105
2014,3,0.357780651756397
2014,4,0.242952340066754
2014,5,0.125739753615177
2015,1,1.30358875628699
2015,2,0.527743260035658
2015,3,0.430837511936565
2015,4,0.28959310911215
2015,5,0.105608930439381
2016,1,1.2941897983578
2016,2,0.553293170025105
2016,3,0.440428981656932
2016,4,0.296644174679518
2016,5,0.123126133681808
2017,1,1.32534129294376
2017,2,0.555893846602508
2017,3,0.440460828060138
2017,4,0.247884186214981
2017,5,0.148427853664976
2018,1,1.24220083811889
2018,2,0.619955187424519
2018,3,0.42307319249646
2018,4,0.285563587850206
2018,5,0.147846459380624
2019,1,1.29283532298637
2019,2,0.539593517841333
2019,3,0.382657441737798
2019,4,0.288633161108502
2019,5,0.130920850015399
2020,1,1.23480897372026
2020,2,0.474608826009557
2020,3,0.490497186577785
2020,4,0.376529494480224
2020,5,0.166189802360478
2021,1,1.19547720154198
2021,2,0.556729791800007
2021,3,0.408930188516182
2021,4,0.337136024545783
2021,5,0.116201567007828
2022,1,1.17941318120896
2022,2,0.5312545572162
2022,3,0.43695418000738
2022,4,0.276168274924257
2022,5,0.15868296977112
2023,1,1.09465012923741
2023,2,0.597386714248541
2023,3,0.45592043270836
2023,4,0.280351117123277
2023,5,0.144895290875189
2024,1,1.06647012023288
2024,2,0.53255683360667
2024,3,0.422703157205468
2024,4,0.306313059160114
2024,5,0.20024382356986
