year,age_group,sex,percentage
1991,0-4,Varones,3.1
1991,5-9,Varones,3.1
1991,10-14,Varones,3.4
1991,15-19,Varones,3.5
1991,20-24,Varones,3.5
1991,25-29,Varones,3.5
1991,30-34,Varones,3.4
1991,35-39,Varones,3.0999999999999996
1991,40-44,Varones,3
1991,45-49,Varones,2.6999999999999997
1991,50-54,Varones,2.4
1991,55-59,Varones,2.4
1991,60-64,Varones,2.4
1991,65-69,Varones,2.2
1991,70-74,Varones,1.5
1991,75-79,Varones,1.2
1991,80-84,Varones,0.7
1991,85+,Varones,0.4
1991,0-4,Mujeres,3
1991,5-9,Mujeres,3.1
1991,10-14,Mujeres,3.3000000000000003
1991,15-19,Mujeres,3.7
1991,20-24,Mujeres,3.8
1991,25-29,Mujeres,3.6999999999999997
1991,30-34,Mujeres,3.5999999999999996
1991,35-39,Mujeres,3.5
1991,40-44,Mujeres,3.5
1991,45-49,Mujeres,3.4
1991,50-54,Mujeres,3
1991,55-59,Mujeres,3.1
1991,60-64,Mujeres,3.4
1991,65-69,Mujeres,3.2
1991,70-74,Mujeres,2.5
1991,75-79,Mujeres,2.2
1991,80-84,Mujeres,1.6
1991,85+,Mujeres,1
2001,0-4,Varones,2.9
2001,5-9,Varones,2.7
2001,10-14,Varones,3
2001,15-19,Varones,3.2
2001,20-24,Varones,4.1000000000000005
2001,25-29,Varones,4.1
2001,30-34,Varones,3.5
2001,35-39,Varones,3
2001,40-44,Varones,2.9
2001,45-49,Varones,2.6999999999999997
2001,50-54,Varones,2.6999999999999997
2001,55-59,Varones,2.4
2001,60-64,Varones,1.9
2001,65-69,Varones,1.8
2001,70-74,Varones,1.7
2001,75-79,Varones,1.4000000000000001
2001,80-84,Varones,0.8
2001,85+,Varones,0.5
2001,0-4,Mujeres,2.8000000000000003
2001,5-9,Mujeres,2.6
2001,10-14,Mujeres,2.9000000000000004
2001,15-19,Mujeres,3.2
2001,20-24,Mujeres,4.3
2001,25-29,Mujeres,4.3
2001,30-34,Mujeres,3.7
2001,35-39,Mujeres,3.4
2001,40-44,Mujeres,3.4
2001,45-49,Mujeres,3.4
2001,50-54,Mujeres,3.4
2001,55-59,Mujeres,3.1
2001,60-64,Mujeres,2.6999999999999997
2001,65-69,Mujeres,2.5999999999999996
2001,70-74,Mujeres,2.8
2001,75-79,Mujeres,2.4
2001,80-84,Mujeres,1.7
2001,85+,Mujeres,1.5
2010,0-4,Varones,2.9
2010,5-9,Varones,2.8000000000000003
2010,10-14,Varones,2.6
2010,15-19,Varones,2.9
2010,20-24,Varones,3.9000000000000004
2010,25-29,Varones,4.1
2010,30-34,Varones,4.1
2010,35-39,Varones,3.5
2010,40-44,Varones,3
2010,45-49,Varones,2.8
2010,50-54,Varones,2.6999999999999997
2010,55-59,Varones,2.5
2010,60-64,Varones,2.3
2010,65-69,Varones,1.8
2010,70-74,Varones,1.5
2010,75-79,Varones,1.2
2010,80-84,Varones,0.7999999999999999
2010,85+,Varones,0.6
2010,0-4,Mujeres,2.8000000000000003
2010,5-9,Mujeres,2.7
2010,10-14,Mujeres,2.6
2010,15-19,Mujeres,3
2010,20-24,Mujeres,4.1
2010,25-29,Mujeres,4.4
2010,30-34,Mujeres,4.4
2010,35-39,Mujeres,3.9000000000000004
2010,40-44,Mujeres,3.3000000000000003
2010,45-49,Mujeres,3.2
2010,50-54,Mujeres,3.1999999999999997
2010,55-59,Mujeres,3.1999999999999997
2010,60-64,Mujeres,3
2010,65-69,Mujeres,2.5999999999999996
2010,70-74,Mujeres,2.2
2010,75-79,Mujeres,2
2010,80-84,Mujeres,1.9000000000000001
2010,85+,Mujeres,1.7
2022,0-4,Mujeres,2.3325726189602745
2022,0-4,Varones,2.4357704708045556
2022,10-14,Mujeres,3.1019589009188486
2022,10-14,Varones,3.2192859836427723
2022,15-19,Mujeres,3.0464992667858306
2022,15-19,Varones,3.0873811230271544
2022,20-24,Mujeres,3.4905287696451577
2022,20-24,Varones,3.3434373887643463
2022,25-29,Mujeres,4.003762668649672
2022,25-29,Varones,3.7490520439486366
2022,30-34,Mujeres,3.81101560975641
2022,30-34,Varones,3.643419222610358
2022,35-39,Mujeres,3.668089308273225
2022,35-39,Varones,3.520453263163493
2022,40-44,Mujeres,3.3684919432946865
2022,40-44,Varones,3.075975213292114
2022,45-49,Mujeres,3.254977510173206
2022,45-49,Varones,2.8359705227719307
2022,5-9,Mujeres,3.0882141389066793
2022,5-9,Varones,3.199357680678741
2022,50-54,Mujeres,3.0537400971232436
2022,50-54,Varones,2.5384236584199162
2022,55-59,Mujeres,2.937694577290898
2022,55-59,Varones,2.3573708609122996
2022,60-64,Mujeres,2.7939032208558983
2022,60-64,Varones,2.192177404187955
2022,65-69,Mujeres,2.6339962110593107
2022,65-69,Varones,1.9686728358968328
2022,70-74,Mujeres,2.5849443913841808
2022,70-74,Varones,1.82449701059436
2022,75-79,Mujeres,2.332092032875933
2022,75-79,Varones,1.4071560549521351
2022,80-84,Mujeres,1.849199135329517
2022,80-84,Varones,0.875563767525773
2022,85+,Mujeres,2.4853028765640275
2022,85+,Varones,0.8890522169596266
2023,0-4,Mujeres,2.169700768430326
2023,0-4,Varones,2.260180044750561
2023,10-14,Mujeres,3.1561243723241525
2023,10-14,Varones,3.2670676670439853
2023,15-19,Mujeres,3.0936061525907896
2023,15-19,Varones,3.151651890315436
2023,20-24,Mujeres,3.396801821426342
2023,20-24,Varones,3.2664884967119217
2023,25-29,Mujeres,3.9421550413238036
2023,25-29,Varones,3.7153776801911524
2023,30-34,Mujeres,3.872912010512585
2023,30-34,Varones,3.671939905286345
2023,35-39,Mujeres,3.682204090615703
2023,35-39,Varones,3.5417231089606016
2023,40-44,Mujeres,3.4056180809255396
2023,40-44,Varones,3.1254283447247557
2023,45-49,Mujeres,3.275047347174646
2023,45-49,Varones,2.8843004298087385
2023,5-9,Mujeres,2.9938279748279704
2023,5-9,Varones,3.103291167588084
2023,50-54,Mujeres,3.1090828709087246
2023,50-54,Varones,2.577501034462565
2023,55-59,Mujeres,2.938903321670559
2023,55-59,Varones,2.380872706726806
2023,60-64,Mujeres,2.8256755217520286
2023,60-64,Varones,2.2002680915114867
2023,65-69,Mujeres,2.6372199309242847
2023,65-69,Varones,1.9819852285824417
2023,70-74,Mujeres,2.5510522559649718
2023,70-74,Varones,1.800640562387263
2023,75-79,Mujeres,2.359185995403962
2023,75-79,Varones,1.4593161800241579
2023,80-84,Mujeres,1.885392487645975
2023,80-84,Varones,0.9114853981506448
2023,85+,Mujeres,2.5146932295631705
2023,85+,Varones,0.8912787887875198
2024,0-4,Mujeres,2.015427953590078
2024,0-4,Varones,2.094555609966594
2024,10-14,Mujeres,3.1881851548371145
2024,10-14,Varones,3.2990867026425987
2024,15-19,Mujeres,3.127578800382062
2024,15-19,Varones,3.201437744344619
2024,20-24,Mujeres,3.321519134638228
2024,20-24,Varones,3.219829752709912
2024,25-29,Mujeres,3.867558145736464
2024,25-29,Varones,3.664179381879831
2024,30-34,Mujeres,3.9398009202468858
2024,30-34,Varones,3.71431295828505
2024,35-39,Mujeres,3.676494593105098
2024,35-39,Varones,3.535402999933737
2024,40-44,Mujeres,3.463418812535657
2024,40-44,Varones,3.201696331456961
2024,45-49,Mujeres,3.301058429374203
2024,45-49,Varones,2.929565719106517
2024,5-9,Mujeres,2.879302849145127
2024,5-9,Varones,2.9903013671177394
2024,50-54,Mujeres,3.1622617968248736
2024,50-54,Varones,2.628667290508075
2024,55-59,Mujeres,2.9465031749648887
2024,55-59,Varones,2.4040197366613496
2024,60-64,Mujeres,2.857646178486522
2024,60-64,Varones,2.2104996064627387
2024,65-69,Mujeres,2.6476411198761367
2024,65-69,Varones,2.002304657638744
2024,70-74,Mujeres,2.519640499267067
2024,70-74,Varones,1.7753298197809444
2024,75-79,Mujeres,2.383429737841153
2024,75-79,Varones,1.508241656121161
2024,80-84,Mujeres,1.9165830298975186
2024,80-84,Varones,0.9524086581429889
2024,85+,Mujeres,2.551252773750822
2024,85+,Varones,0.9028569027405385
2025,0-4,Mujeres,1.8957850733551669
2025,0-4,Varones,1.9711826641391266
2025,10-14,Mujeres,3.2168989315102836
2025,10-14,Varones,3.3185005945434485
2025,15-19,Mujeres,3.1536130122863653
2025,15-19,Varones,3.2440446618700554
2025,20-24,Mujeres,3.2818733411393546
2025,20-24,Varones,3.217385996050232
2025,25-29,Mujeres,3.7831276946845676
2025,25-29,Varones,3.5889512980919407
2025,30-34,Mujeres,3.9801290656088923
2025,30-34,Varones,3.740655666801097
2025,35-39,Mujeres,3.677239863699859
2025,35-39,Varones,3.528620237077041
2025,40-44,Mujeres,3.545245373373935
2025,40-44,Varones,3.3058693874741287
2025,45-49,Mujeres,3.3224620528016926
2025,45-49,Varones,2.9645994998171883
2025,5-9,Mujeres,2.722528423463003
2025,5-9,Varones,2.8332868998471916
2025,50-54,Mujeres,3.20780706009792
2025,50-54,Varones,2.688888499237257
2025,55-59,Mujeres,2.967197177363578
2025,55-59,Varones,2.425159286340048
2025,60-64,Mujeres,2.8833571345538522
2025,60-64,Varones,2.2249432894520655
2025,65-69,Mujeres,2.6631714915279994
2025,65-69,Varones,2.02057100848986
2025,70-74,Mujeres,2.499420393197462
2025,70-74,Varones,1.760153834464297
2025,75-79,Mujeres,2.3895711039545096
2025,75-79,Varones,1.5376302816466938
2025,80-84,Mujeres,1.9383545141466272
2025,80-84,Varones,0.9931245969540932
2025,85+,Mujeres,2.589202623394554
2025,85+,Varones,0.9194479675446168
2026,0-4,Mujeres,1.8346107343433167
2026,0-4,Varones,1.90871401775152
2026,10-14,Mujeres,3.213186209613792
2026,10-14,Varones,3.3112621661316033
2026,15-19,Mujeres,3.2017054192266055
2026,15-19,Varones,3.2968133305022747
2026,20-24,Mujeres,3.2752216167627366
2026,20-24,Varones,3.2412684838279042
2026,25-29,Mujeres,3.6761360356243706
2026,25-29,Varones,3.505359278614973
2026,30-34,Mujeres,3.979626815603829
2026,30-34,Varones,3.7305719423181607
2026,35-39,Mujeres,3.713155061446691
2026,35-39,Varones,3.5499451890106655
2026,40-44,Mujeres,3.616448971963714
2026,40-44,Varones,3.4051959056631285
2026,45-49,Mujeres,3.3431604985141834
2026,45-49,Varones,2.991789604079073
2026,5-9,Mujeres,2.5237517005105365
2026,5-9,Varones,2.626622191650269
2026,50-54,Mujeres,3.2435189796708475
2026,50-54,Varones,2.7452135378088194
2026,55-59,Mujeres,3.0048685726735664
2026,55-59,Varones,2.452355535290221
2026,60-64,Mujeres,2.9006608303807804
2026,60-64,Varones,2.2459296194933382
2026,65-69,Mujeres,2.6848415406307455
2026,65-69,Varones,2.0358833408186783
2026,70-74,Mujeres,2.4919512157733013
2026,70-74,Varones,1.758550498028207
2026,75-79,Mujeres,2.379295960099035
2026,75-79,Varones,1.5480475970086016
2026,80-84,Mujeres,1.9617148256469115
2026,80-84,Varones,1.0356194783350636
2026,85+,Mujeres,2.626165569305324
2026,85+,Varones,0.9408377258772123
2027,0-4,Mujeres,1.7948311379254314
2027,0-4,Varones,1.8672979447207996
2027,10-14,Mujeres,3.161479109116927
2027,10-14,Varones,3.2611701096044077
2027,15-19,Mujeres,3.2769607971610832
2027,15-19,Varones,3.36122147848011
2027,20-24,Mujeres,3.282431844509558
2027,20-24,Varones,3.280826567143838
2027,25-29,Mujeres,3.5587361159888244
2027,25-29,Varones,3.4186510952578137
2027,30-34,Mujeres,3.953699869481122
2027,30-34,Varones,3.7061267867719905
2027,35-39,Mujeres,3.7746623020594727
2027,35-39,Varones,3.586386199594291
2027,40-44,Mujeres,3.657935705037819
2027,40-44,Varones,3.469692363335203
2027,45-49,Mujeres,3.374620630369489
2027,45-49,Varones,3.028273848524717
2027,5-9,Mujeres,2.3369562368629344
2027,5-9,Varones,2.4286536112843793
2027,50-54,Mujeres,3.2708017737987283
2027,50-54,Varones,2.7973104724364046
2027,55-59,Mujeres,3.058970683048795
2027,55-59,Varones,2.4894575866063517
2027,60-64,Mujeres,2.9090574335480692
2027,60-64,Varones,2.272384773845904
2027,65-69,Mujeres,2.714294700094875
2027,65-69,Varones,2.0500047175498097
2027,70-74,Mujeres,2.4921767298993065
2027,70-74,Varones,1.7677379872835823
2027,75-79,Mujeres,2.3567109766900622
2027,75-79,Varones,1.5425077446442705
2027,80-84,Mujeres,1.9845159531809389
2027,80-84,Varones,1.0783204998506108
