year,comuna,age_group,ratio
1991,1,0 a 17,0.195421
1991,1,18 a 29,0.175204
1991,1,30 a 54,0.300985
1991,1,55 a 69,0.176154
1991,1,70+,0.152237
2001,1,0 a 17,0.196878
2001,1,18 a 29,0.21671
2001,1,30 a 54,0.319059
2001,1,55 a 69,0.138138
2001,1,70+,0.129215
2010,1,0 a 17,0.193663
2010,1,18 a 29,0.226741
2010,1,30 a 54,0.337791
2010,1,55 a 69,0.139913
2010,1,70+,0.101891
2022,1,0 a 17,0.186714
2022,1,18 a 29,0.207438
2022,1,30 a 54,0.365437
2022,1,55 a 69,0.140778
2022,1,70+,0.099633
1991,2,0 a 17,0.193771
1991,2,18 a 29,0.201113
1991,2,30 a 54,0.31102
1991,2,55 a 69,0.16403
1991,2,70+,0.130065
2001,2,0 a 17,0.150807
2001,2,18 a 29,0.245049
2001,2,30 a 54,0.298713
2001,2,55 a 69,0.156881
2001,2,70+,0.14855
2010,2,0 a 17,0.134313
2010,2,18 a 29,0.244293
2010,2,30 a 54,0.30607
2010,2,55 a 69,0.172821
2010,2,70+,0.142503
2022,2,0 a 17,0.136611
2022,2,18 a 29,0.23145
2022,2,30 a 54,0.326146
2022,2,55 a 69,0.151417
2022,2,70+,0.154375
1991,3,0 a 17,0.202981
1991,3,18 a 29,0.17292
1991,3,30 a 54,0.311672
1991,3,55 a 69,0.17596
1991,3,70+,0.136467
2001,3,0 a 17,0.189914
2001,3,18 a 29,0.212699
2001,3,30 a 54,0.325217
2001,3,55 a 69,0.140732
2001,3,70+,0.131437
2010,3,0 a 17,0.181326
2010,3,18 a 29,0.20823
2010,3,30 a 54,0.347631
2010,3,55 a 69,0.149765
2010,3,70+,0.113047
2022,3,0 a 17,0.170743
2022,3,18 a 29,0.190279
2022,3,30 a 54,0.372554
2022,3,55 a 69,0.15276699999999999
2022,3,70+,0.113658
1991,4,0 a 17,0.251879
1991,4,18 a 29,0.162399
1991,4,30 a 54,0.300833
1991,4,55 a 69,0.167059
1991,4,70+,0.11783
2001,4,0 a 17,0.253002
2001,4,18 a 29,0.197339
2001,4,30 a 54,0.310697
2001,4,55 a 69,0.128754
2001,4,70+,0.110208
2010,4,0 a 17,0.251492
2010,4,18 a 29,0.19841
