year,youths_0_14,actives_15_64,olders_65+,total,youth_dependency,older_adults_dependency,total_dependency
1991,,,,,29.5,25.3,54.8
2001,,,,,25.6,26.2,51.8
2010,,,,,24.3,24.4,48.7
2022,,,,,21.9,26.1,48
2023,526794,1990841,590259,3107894,21.27,26.18,47.41
2024,509441,1991544,592750,3093735,20.56,26.28,46.76
2025,491460,1993509,594705,3079674,19.81,26.34,46.04
2026,472719,1996541,596731,3065991,19.03,26.39,45.26
2027,453298,2000204,598930,3052432,18.21,26.44,44.45
2028,433459,2004264,601275,3038998,17.38,26.49,43.62
2029,413463,2008640,603662,3025765,16.54,26.53,42.79
2030,394214,2012628,605984,3012826,15.74,26.59,41.99
2031,377028,2015110,608367,3000505,15.04,26.66,41.32
2032,363268,2014967,610856,2989091,14.49,26.77,40.84
2033,352985,2012498,613397,2978880,14.1,26.91,40.57
2034,345050,2008823,616153,2970026,13.81,27.08,40.43
2035,340857,2001802,619191,2961850,13.69,27.31,40.52
2036,340906,1989885,622956,2953747,13.77,27.65,40.93
2037,342844,1975321,627541,2945706,13.95,28.05,41.51
2038,345266,1959929,632525,2937720,14.16,28.49,42.15
2039,348357,1943638,637835,2929830,14.4,28.98,42.87
2040,352173,1926457,643367,2921997,14.69,29.49,43.67
